(En millones de dólares),ACTIVO,Fondos Disponibles,Fondos Interbancarios Vendidos,Inversiones,Cartera de Crédito neta,Cartera Vigente,Cartera Vencida,Provisión para Crédito Incobrables,Deudores por aceptación,Cuentas por Cobrar,Bienes Adjudicados por Pago,Activo Fijo,Otros Activos,PASIVO,Obligaciones con el Publico,Operaciones Interbancarias,Obligaciones Inmediatas,Aceptaciones en Circulacion,Cuentas por Pagar,Obligaciones Financieras,Valores en Circulacion,Obligaciones Conv. en Acciones y Aportes,Otros Pasivos,PATRIMONIO,Capital Social,Primas o Dsctos Colocacion Acciones,Reservas,Otros Aportes Patrimoniales,Superavit por Valuaciones,Resultados,Utilidad o Pérdida Acumulado,Resultados del Ejercicio,TOTAL PASIVO + PATRIMONIO,CONTINGENTES NETOS,TOTAL ACTIVOS + CONTINGEN. NETOS,
Variación Banco Guayaquil % hasta septiembre 2022,2.1,-1.8,0.0,-4.5,4.7,4.6,2.1,3.4,0.0,7.7,-5.7,-1.4,-0.9,1.9,1.4,0.0,6.6,0.0,15.5,0.8,0.0,0.0,91.3,4.7,0.0,0.0,0.0,0.0,-4.5,64.9,0.0,64.9,2.1,3.6,2.5,
Variación Total Sistema Monto hasta septiembre 2022,1912.0,227.0,0.0,96.0,1484.0,1472.0,46.0,-34.0,-4.0,43.0,4.0,4.0,59.0,1744.0,883.0,0.0,21.0,-4.0,233.0,540.0,0.0,14.0,58.0,168.0,18.0,0.0,-14.0,0.0,-15.0,179.0,-2.0,181.0,1912.0,640.0,2552.0,
"Variación Total Sistema %
 hasta septiembre 2022",3.6,3.1,0.0,1.2,4.4,4.2,6.3,1.4,-35.0,5.6,3.9,0.5,2.6,3.7,2.2,0.0,7.4,-35.0,12.7,18.2,0.0,2.7,24.7,3.0,0.4,0.0,-1.4,0.0,-6.2,51.8,-4.1,59.9,3.6,4.1,3.7,
Total Sistema hasta septiembre 2023,58729.0,7783.0,0.0,7864.0,38440.0,39991.0,1384.0,-2934.0,32.0,908.0,122.0,802.0,2779.0,52340.0,44490.0,0.0,283.0,32.0,2399.0,3788.0,420.0,615.0,312.0,6390.0,4560.0,1.0,929.0,2.0,295.0,603.0,35.0,568.0,58729.0,17472.0,76201.0,
Guayaquil hasta septiembre 2023,7095.0,778.0,0.0,1066.0,4807.0,4885.0,140.0,-218.0,0.0,65.0,24.0,108.0,248.0,6369.0,5417.0,0.0,36.0,0.0,251.0,528.0,56.0,75.0,5.0,726.0,537.0,0.0,91.0,0.0,8.0,90.0,0.0,90.0,7095.0,2006.0,9101.0,
Variación Banco Guayaquil Monto hasta septiembre 2023,194.0,-10.0,0.0,75.0,103.0,101.0,6.0,-4.0,0.0,-8.0,0.0,0.0,34.0,168.0,154.0,0.0,1.0,0.0,20.0,-8.0,0.0,0.0,1.0,26.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,26.0,194.0,26.0,221.0,
Variación Banco Guayaquil % hasta septiembre 2023,2.8,-1.3,0.0,7.6,2.2,2.1,4.2,1.7,0.0,-10.6,-0.1,-0.1,16.1,2.7,2.9,0.0,2.4,0.0,8.9,-1.4,0.0,0.0,20.6,3.7,0.0,0.0,0.0,0.0,-0.1,41.2,0.0,41.2,2.8,1.3,2.5,
Variación Total Sistema Monto hasta septiembre 2023,1181.0,-327.0,0.0,175.0,939.0,918.0,94.0,-74.0,1.0,42.0,26.0,-11.0,336.0,1026.0,624.0,0.0,3.0,1.0,235.0,76.0,63.0,8.0,15.0,154.0,190.0,0.0,-195.0,0.0,4.0,155.0,-23.0,177.0,1180.0,149.0,1329.0,
"Variación Total Sistema %
 hasta septiembre 2023",2.1,-4.0,0.0,2.3,2.5,2.3,7.3,2.6,2.1,4.8,27.9,-1.4,13.8,2.0,1.4,0.0,1.1,2.1,10.9,2.0,17.7,1.3,5.2,2.5,4.4,0.0,-17.3,0.0,1.4,34.5,-39.1,45.4,2.1,0.9,1.8,
Total Sistema hasta diciembre 2022,56886.0,9500.0,0.0,7435.0,35939.0,37773.0,817.0,-2650.0,18.0,756.0,106.0,827.0,2304.0,50836.0,43642.0,0.0,221.0,18.0,2156.0,3628.0,323.0,610.0,237.0,6050.0,4111.0,1.0,948.0,2.0,279.0,708.0,44.0,664.0,56886.0,16562.0,73447.0,
